Trait,Cat
PC3_movement_vel_SDLD,Spread_of_Shift
PC1_movement_acc_SDLD..........,Spread_of_Shift
PC2_movement_acc_SDLD,Spread_of_Shift
PC3_movement_acc_SDLD,Spread_of_Shift
PC1_movement_ori_SDSD,Spread_of_Shift
PC2_movement_ori_SDSD,Spread_of_Shift
PC1_movement_vel_SDSD,Spread_of_Shift
PC2_movement_vel_SDSD,Spread_of_Shift
PC3_movement_vel_SDSD,Spread_of_Shift
PC1_movement_acc_SDSD,Spread_of_Shift
PC2_movement_acc_SDSD,Spread_of_Shift
PC3_movement_acc_SDSD,Spread_of_Shift
PC1_movement_ori_LDLD,Spread_of_Shift
PC2_movement_ori_LDLD,Spread_of_Shift
PC1_movement_vel_LDLD,Spread_of_Shift
PC2_movement_vel_LDLD,Spread_of_Shift
PC3_movement_vel_LDLD,Spread_of_Shift
PC1_movement_acc_LDLD,Spread_of_Shift
PC2_movement_acc_LDLD,Spread_of_Shift
PC3_movement_acc_LDLD,Spread_of_Shift
diff_SDLD_ori_centerdist,Spread_of_Shift
diff_SDSD_ori_centerdist,Spread_of_Shift
diff_LDLD_ori_centerdist,Spread_of_Shift
diff_SDLD_vel_centerdist,Spread_of_Shift
diff_SDSD_vel_centerdist,Spread_of_Shift
diff_LDLD_vel_centerdist,Spread_of_Shift
